LIST OF WW2 SHIPS					
https://military-history.fandom.com/wiki/List_of_World_War_II_ships					
					
ID	Ship	Country	Type	Produksi	Fate
290	Caio Duilio	Kingdom of Italy	Andrea Doria-class battleship	1915	1956
291	Cairo	UK	C class light cruiser	24 September 1919	lost 12 August 1942
292	Calcaterra	USA	Edsall class destroyer escort	17 November 1943	scrapped 1974
293	Calcutta	UK	C class light cruiser	21 August 1919	lost 1 June 1941
294	Caldas	Colombia	destroyer	former Tejo (Portugal)	
295	HMS/HMCS Caldwell	USA UK Canada	Town class destroyer	24 September 1940 (former USS Hale), to RCN 1942	scrapped 1944
296	USS Caldwell	USA	Benson class destroyer	10 June 1942	decommissioned 1946, scrapped 1966
297	Caledon	UK	C-class cruiser	6 March 1917	scrapped 1948
298	California	USA	Tennessee-class battleship	10 August 1921	Decommissioned 14 February 1947, scrapped 1959
299	Callaghan	USA	Fletcher-class destroyer	27 November 1943	sunk 28 July 1945
300	Calypso	UK	C class light cruiser	6 March 1917	scrapped Jan 1948
301	Cameron	USA UK	Town class destroyer	24 September 1940 (former USS Welles)	constructive loss 5 December 1940
302	Camp	USA	Edsall class destroyer escort	16 September 1943	to South Vietnam 1971, to Philippines 1976
303	Campania	UK	escort aircraft carrier	7 March 1944	Decommissioned 30 December 1945, scrapped 1955
304	Campbeltown	USA UK Netherlands	Town class destroyer	from USN 9 September 1940 (former USS Buchanan), to Netherlands March-Sept 1941	expended as bomb-ship at St Nazaire, 29 March 1942
305	HMAS Canberra	Australia	County class heavy cruiser	10 July 1928	scuttled 9 August 1942
306	USS Canberra	USA	Baltimore class heavy cruiser	14 October 1943	decommissioned 1970, scrapped 1980
307	Canfield	USA	Evarts class destroyer escort	22 July 1943	scrapped 1947
308	Cannon	USA Brazil	Cannon class destroyer escort	26 Sepr 1943	to Brazil 19 December 1944 as Baependi
309	Cape Esperance	USA	Casablanca-class escort carrier	9 April 1944	scrapped 1959
310	Cape Gloucester	USA	Commencement Bay-class escort carrier	5 March 1945	decommissioned 1946, scrapped 1971
311	Caperton	USA	Fletcher-class destroyer	30 June 1943	decommissioned 1960, sunk as target
312	Capetown	UK	C class light cruiser	10 April 1922	Scrapped June 1946
313	Capitan O'Brien	Chile	Capitan O'Brien class submarine	1929	1957
314	Capitan Thompson	Chile	Capitan O'Brien class submarine	1929	1958
315	Capps	USA	Fletcher-class destroyer	23 June 1943	To Spain 1957, scrapped 1985
316	Caradoc	UK	C class light cruiser	15 June 1917	scrapped 1946
317	Card	USA	Bogue-class escort carrier	8 November 1942	scrapped 1971
318	Cardiff	UK	C class light cruiser	25 June 1917	scrapped 1946
319	Carinthia	UK	Armed Merchant Cruiser	Aug 1939	torpedoed 6 June 1940, foundered the next day
320	Carlisle	UK	C class light cruiser	11 November 1918	constructive total loss 9 October 1942, scrapped 1948
321	Carlson	USA	Evarts class destroyer escort	10 May 1943	scrapped 1946
322	Carmick	USA	Gleaves class destroyer	28 December 1942	decommissioned 1954, scrapped 1972
323	Carroll	USA	Cannon class destroyer escort	24 October 1943	decommissioned 1946, scrapped 1966
324	Carter	USA	Cannon class destroyer escort	3 May 1944	to Republic of China 1948, scrapped 1973
325	Casablanca	USA	Casablanca class escort aircraft carrier	8 July 1943	Decommissioned 10 June 1946, scrapped 1947
326	Case	USA	Mahan class destroyer	15 September 1936	scrapped 1948
327	Cassin	USA	Mahan class destroyer	21 August 1936	"destroyed 7 December 1941 but ""rebuilt,"" scrapped 1948"
328	Cassin Young	USA	Fletcher-class destroyer	31 December 1943	decommissioned 1960, museum ship at Boston, MA
329	Castleton	USA UK	Town class destroyer	9 September 1940 (former USS Aaron Ward)	scrapped 1947
330	Catamarca	Argentina	Catamarca class destroyer	ca.1912	Sold 1959
331	Cates	USA	Cannon class destroyer escort	15 December 1943	to France 1950, scrapped 1959
332	Cauvery	India	Modified Black Swan class sloop		
333	Cavalla	United States	Gato class submarine	29 February 1944	"decommissioned 1968; museum at Galveston Texas"
334	Cecil J. Doyle	USA	Butler class destroyer escort	16 October 1944	decommissioned 1946, sunk as target 1967
335	Ceres	UK	C class light cruiser	1 June 1917	scrapped 1946
336	Cervantes	Argentina	Cervantes class destroyer		Discarded 24 June 1961
337	Ceylon	UK	Fiji class cruiser	13 July 1943	sold to Peru 1959, renamed Colonel Bolognesi
338	Chacabuco	Chile	Presidente Errazuriz class cruiser		Discarded 1952
339	Chaffee	USA	Rudderow class destroyer escort	9 May 1944	decommissioned 1946, scrapped 1948
340	Chambers	USA	Edsall class destroyer escort	24 November 1943	scrapped 1975
341	Champlin	USA	Benson class destroyer	12 September 1942	decommissioned 1947, scrapped 1972
342	Chao Ho	Republic of China (1912–1949)	Chao Ho class cruiser	23 October 1911	sunk 28 September 1937
343	Chandler	USA	Clemson class destroyer-minesweeper	5 September 1919	scrapped 1946
344	Charger	UK/ USA	Avenger class	2 October 1941	to USN 4 October 1941, sold as merchant 1947
345	Charles Ausburne	USA	Fletcher-class destroyer	24 November 1942	to West Germany 1960, scrapped 1968
346	Charles E. Brannon	USA	Butler class destroyer escort	1 November 1944	decommissioned 1960, scrapped 1969
347	Charles F. Hughes	USA	Benson class destroyer	5 September 1940	decommissioned 1946, sunk as target 1969
348	Charles J. Badger	USA	Fletcher-class destroyer	23 July 1943	decommissioned 1957, scrapped 1974
349	Charles J. Kimmel	USA	Rudderow class destroyer escort	20 April 1944	decommissioned 1947, sunk as target 1969
350	Charles Lawrence	USA	Buckley class destroyer escort	31 May 1943	scrapped 1965
351	Charles P. Cecil	USA	Gearing class destroyer	29 June 1945	to Greece 1980, scrapped 2003
352	Charles R. Greer	USA	Evarts class destroyer escort	25 June 1943	scrapped 1947
353	Charles R. Ware	USA	Gearing class destroyer	21 July 1945	decommissioned 1974, sunk as target 1981
354	Charles S. Sperry	USA	Sumner class destroyer	17 May 1944	to Chile 1974, scrapped 1990
355	Charlestown	USA UK	Town class destroyer	23 September 1940 (former USS Abbot)	scrapped 1947[2]
356	Charrette	USA	Fletcher-class destroyer	18 May 1943	to Greece 1959, museum ship at Athens
357	Chase	USA	Buckley class destroyer escort	18 July 1943	scrapped 1946
358	Chaser	UK	Attacker class escort aircraft carrier	9 April 1943 (former USS Breton)	Returned to USN 12 May 1946, sold into merchant service 20 December 1946 as Aagtekerk
359	Chatelain	USA	Edsall class destroyer escort	22 September 1943	scrapped 1974
360	Chauncey	USA	Fletcher-class destroyer	31 May 1943	decommissioned 1954, scrapped 1972
361	Chelsea	USA UK Canada USSR	Town class destroyer	9 September 1940 (former USS Crowninshield)	to Canada Nov 1942, to USSR July 1944 as Derzkiy
362	Chenango	USA	Sangamon-class escort carrier	"20 June 1941 as oiler AO-31; 19 September 1942 as ACV-28"	decommissioned 1946, scrapped 1960
363	Chervona Ukraina	Soviet Union	Svetlana class light cruiser	3 October 1913	Sunk 12 November 1941
364	Chester	USA	Northampton class heavy cruiser	24 June 1930	scrapped 1959
365	Chester T. O'Brien	USA	Butler class destroyer escort	3 July 1944	decommissioned 1959, scrapped 1974
366	Chesterfield	USA UK	Town class destroyer	9 September 1940 (former USS Welborn C. Wood)	scrapped 1947
367	Chevalier (DD-451)	USA	Fletcher-class destroyer	20 June 1942	sunk 7 October 1943
368	Chevalier (II)	USA	Gearing class destroyer	9 January 1945	to South Korea 1977
369	Chew	USA	Wickes class destroyer	12 December 1918	scrapped 1946
370	Chicago (I)	USA	Northampton class heavy cruiser	9 March 1931	sunk 30 January 1943
371	Chicago (II)	USA	Baltimore class heavy cruiser	10 January 1945	converted to missile cruiser 1964, decommissioned 1980, scrapped 1992
372	Chikuma	Empire of Japan	Tone class heavy cruiser	30 May 1939	sunk 25 October 1944
373	Chitose	Empire of Japan	Chitose class aircraft carrier	25 July 1938	sunk 25 October 1944
374	Chiyoda	Empire of Japan	Chitose class aircraft carrier	15 December 1938	sunk 25 October 1944
375	Ch?kai	Empire of Japan	Takao class heavy cruiser	1932	sunk 25 October 1944
376	Christopher	USA Brazil	Cannon class destroyer escort	23 October 1943	to Brazil 19 December 1944 as Benevente
377	Churchill	USA UK USSR	Town class destroyer	9 September 1940 (former USS Herndon)	to USSR as Deyatelny 16 July 1944, sunk 16 January 1945
378	Ch?y?	Empire of Japan	Taiy? class aircraft carrier	25 November 1942	sunk 4 December 1943
379	Cincinnati	USA	Omaha class light cruiser	1 January 1924	scrapped 1946
380	Clare	USA UK	Town class destroyer	9 September 1940 (former USS Abel P. Upshur)	scrapped 1945
381	Clarence K. Bronson	USA	Fletcher-class destroyer	11 June 1943	to Turkey 1967, scrapped 1987
382	Clarence L. Evans	USA	Cannon class destroyer escort	25 June 1944	to France 1952, scrapped 1960
383	Clark	USA	Porter class destroyer leader	20 May 1936	scrapped 1946
384	Claxton (I)	USA/ UK/ Canada	Wickes class destroyer	13 September 1919	to UK 5 December 1940 as HMS (later HMCS) Salisbury
385	Claxton	USA	Fletcher-class destroyer	8 December 1942	To West Germany 1959
386	Clemson	USA	Clemson class sea plane tender, destroyer & high speed transport	29 December 1919	Decommissioned 12 October 1945
387	Cleveland	USA	Cleveland class light cruiser	15 June 1942	decommissioned 7 February 1947, scrapped 1960
388	Clive	India	24 class sloop	20 April 1920	Scrapped 1947
389	Cloues	USA	Evarts class destroyer escort	10 August 1943	scrapped 1947
390	Coates	USA	Rudderow class destroyer escort	24 January 1944	decommissioned 1970, sunk as target 1971
391	Cockrill	USA	Edsall class destroyer escort	24 December 1943	decommissioned 1946, sunk as target 1974
392	Codrington	UK	A class destroyer leader	4 June 1930	sunk 27 July 1940
393	Cofer	USA	Buckley class destroyer escort	18 January 1944	decommissioned 1946, scrapped 1968
394	Coffman	USA	Cannon class destroyer escort	27 December 1943	decommissioned 1946, scrapped 1973
395	Coghlan	USA	Benson class destroyer	10 July 1942	decommissioned 1947, scrapped 1974
396	Cogswell	USA	Fletcher-class destroyer	17 August 1943	to Turkey 1969, scrapped 1980
397	Colahan	USA	Fletcher-class destroyer	23 August 1943	sunk as target 1966
398	Colbert	France	Suffren class heavy cruiser	4 March 1931	scuttled 27 November 1942
399	Cole	USA	Wickes class destroyer	19 June 1919	scrapped 1947
400	Colhoun (I)	USA	Wickes class destroyer, converted to a fast transport	13 June 1918	sunk 30 August 1942
401	Colhoun (DD-801)	USA	Fletcher-class destroyer	8 July 1944	Sunk 6 April 1945
402	Collett	USA	Sumner class destroyer	16 May 1944	to Argentina 1974
403	Colombo	UK	C class light cruiser	18 June 1919	scrapped 1948
404	Colossus	UK	Colossus class aircraft carrier	16 December 1944	transferred to France, renamed Arromanches 6 August 1946
405	HMCS Columbia	USA Canada	Town class destroyer	24 September 1940 (former USS Haraden)	scrapped 1945
406	USS Columbia	USA	Cleveland class light cruiser	29 July 1942	scrapped 1959
407	Columbus	USA	Baltimore class heavy cruiser	8 June 1945	converted to missile cruiser 1962, scrapped 1977
408	Combattante	Free French	Hunt class Escort destroyer	30 December 1942 (former HMS Haldon)	sunk 23 February 1945
409	Commencement Bay	USA	Commencement Bay class escort carrier	27 November 1944	Decommissioned 30 November 1946, scrapped 1971
410	Compton	USA	Sumner class destroyer	4 November 1944	to Brazil 1972, scrapped 1990
411	Concord	USA	Omaha class light cruiser	3 November 1923	scrapped 1947
412	Cone	USA	Gearing class destroyer	18 August 1945	to Pakistan 1982, scrapped 1998
413	Conklin	USA	Butler class destroyer escort	21 April 1944	decommissioned 1946, scrapped 1972
414	Conner (I)	USA/ UK	Caldwell class destroyer	12 January 1918	To UK as HMS Leeds, 23 October 1940
415	Conner (DD-582)	USA	Fletcher-class destroyer	8 June 1943	to Greece 1959, scrapped 1997
416	Connolly	USA	Evarts class destroyer escort	8 July 1944	scrapped 1947
417	ORP Conrad ex. HMS Danae	UK, then  Poland	D class cruiser	4 October 1944	returned to Royal Navy 28 September 1946, scrapped Mar 1948
418	Conte di Cavour	Kingdom of Italy	Conte di Cavour-class battleship	1915	Decommissioned 18 May 1928
419	Converse	USA	Fletcher-class destroyer	20 November 1942	to Spain 1959, scrapped 1988
420	Conway (ex-Craven) (I)	USA/ UK	Caldwell class destroyer	19 October 1918	To UK as HMS Lewes, 23 October 1940
421	Conway (DD-507)	USA	Fletcher-class destroyer	9 October 1942	sunk as target 1970
422	Cony	USA	Fletcher-class destroyer	30 October 1942	sunk as target 1970
423	Conyngham	USA	Mahan class destroyer	4 November 1936	scuttled 1948 after A-bomb test
424	Coolbaugh	USA	Buckley class destroyer escort	15 October 1943	decommissioned 1960, scrapped 1973
425	Cooner	USA	Cannon class destroyer escort	21 August 1943	decommissioned 1946, scrapped 1973
426	Cooper	USA	Sumner class destroyer	9 February 1944	sunk 3 December 1944
427	Copahee	USA	Bogue-class escort carrier	15 June 1942	decommissioned 1946, scrapped 1961
428	Coral Sea (later Anzio)	USA	Casablanca-class escort carrier	27 August 1943	decommissioned 1946, scrapped 1959
429	Corbesier	USA	Butler class destroyer escort	31 March 1944	decommissioned 1946, scrapped 1974
430	Core	USA	Bogue-class escort carrier	10 December 1942	decommissioned 1946, scrapped 1971
431	Cornwallis	India	Cornwallis class sloop	1921 (former HMS Lychnis)	Scrapped 1946
432	Corregidor	USA	Casablanca-class escort carrier	31 August 1943	scrapped 1959
433	Corry	USA	Gleaves class destroyer	18 December 1941	sunk 6 June 1944
434	Cossack	UK	Tribal class destroyer	7 June 1938	sunk 24 October 1941
435	Coronel	Nazi Germany	auxiliary cruiser	13 August 1938	ran aground 21 November 1984
436	Corrientes	Argentina	Buenos Aires class destroyer		Lost 3 October 1941
437	Cotten	USA	Fletcher-class destroyer	24 July 1943	decommissioned 1960, scrapped 1975
438	Courageous	UK	Glorious-class aircraft carrier	4 November 1916	sunk 17 September 1939
439	Courbet	France Free French	Courbet-class battleship	Nov 1913	"scuttled as a ""Gooseberry"" breakwater 6 June 1944"
440	Cowell (I)	USA/ UK/ USSR	Wickes class destroyer	17 March 1919	to RN 23 September 1940 as HMS Brighton (later to USSR as Zharkiy)
441	Cowell (DD-547)	USA	Fletcher-class destroyer	23 August 1943	to Argentina 1971, scrapped 1982
442	Cowpens	USA	Independence class light carrier	28 May 1943	decommissioned 13 January 1947, scrapped 1960
443	Coventry	UK	C class light cruiser	21 February 1918	lost 14 September 1942
444	Cowie	USA	Gleaves class destroyer	1 June 1942	decommissioned 1947, scrapped 1972
445	Crane	USA	Wickes class destroyer	18 April 1919	scrapped 1946
446	Craven	USA	Gridley class destroyer	2 September 1937	scrapped 1947
447	Croatan	USA	Bogue-class escort carrier	28 April 1943	decommissioned 1946, scrapped 1971
448	Croix de Lorraine	UK Free French	River class frigate	25 September 1944 (former HMS Strule)	Decommissioned 1961
449	Cronin	USA	Buckley class destroyer escort	5 May 1944	sunk as target 1971
450	Crosby	USA	Wickes class destroyer and destroyer-transport	24 January 1919	scrapped 1946
451	Cross	USA	Butler class destroyer escort	8 January 1945	decommissioned 1958, scrapped 1968
452	Crouter	USA	Evarts class destroyer escort	25 May 1943	scrapped 1947
453	Crowninshield	USA UK Canada USSR	Wickes class destroyer	24 July 1919	to RN 9 September 1940 as HMS (later HMCS) Chelsea, then to USSR as Derzkiy
454	Crowley	USA	Evarts class destroyer escort	25 March 1944	scrapped 1947
455	Cuba	Cuba	sloop	c.1911	stricken 1971
456	Cummings	USA	Mahan class destroyer	25 November 1936	scrapped 1947
457	Curacoa	UK	C class light cruiser	18 February 1918	lost 2 October 1942
458	Curlew	UK	C class light cruiser	14 December 1917	lost 26 May 1940
459	Currier	USA	Buckley class destroyer escort	1 February 1944	sunk as target 1967
460	Cushing (I)	USA	Mahan class destroyer	28 August 1936	sunk 13 November 1942
461	Cushing (DD-797)	USA	Fletcher-class destroyer	17 January 1944	to Brazil 1961, scrapped 1982
462	Dahlgren	USA	Clemson-class destroyer	6 January 1920	scrapped 1946
463	Dale	USA	Farragut class destroyer	17 June 1935	scrapped 1947
464	Dale W. Peterson	USA	Edsall-class destroyer escort	17 February 1944	decommissioned 1946, scrapped 1972
465	Dallas	USA	Clemson-class destroyer	29 October 1920	scrapped 1945
466	Daly	USA	Fletcher-class destroyer	24 October 1942	decommissioned 1960, scrapped 1976
467	Damon M. Cummings	USA	Buckley-class destroyer escort	29 June 1944	decommissioned 1947, scrapped 1973
468	Daniel	USA	Edsall-class destroyer escort	24 January 1944	decommissioned 1946, scrapped 1974
469	Daniel A. Joy	USA	Rudderow-class destroyer escort	28 April 1944	scrapped 1966
470	Daniel T. Griffin	USA	Buckley-class destroyer escort	9 June 1943	to Chile 1966
471	Darby	USA	Buckley-class destroyer escort	15 November 1943	sunk as target 1970
472	Dasher	UK	Avenger class escort aircraft carrier	2 July 1942 (former merchant Rio de Janeiro)	sunk 27 March 1943
473	Dashiell	USA	Fletcher-class destroyer	20 March 1943	decommissioned 1960, scrapped 1975
474	Dauntless	UK	Danae class cruiser	10 April 1918	scrapped 1946
475	David W. Taylor	USA	Fletcher-class destroyer	18 September 1943	to Spain 1957, scrapped 1987
476	Davis	USA	Somers class destroyer leader	9 November 1938	scrapped 1947
477	Davison	USA	Gleaves class destroyer	11 September 1942	decommissioned 1949, scrapped 1973
478	Day	USA	Rudderow-class destroyer escort	10 June 1944	
479	Dayton	USA	Cleveland class light cruiser	7 January 1945	scrapped 1962
480	Decatur	USA	Clemson-class destroyer	Aug 1922	scrapped 1945
481	Decker	USA Republic of China (1912–1949)	Evarts-class destroyer escort	3 May 1943	"to Republic of China as Tai Ping 28 August 1945; sunk in action 1954"
482	Découverte	Free French	River class frigate	Feb 1944 (former HMS Windrush)	Decommissioned 1959
483	Decoy	UK	D-class destroyer	4 April 1933	Transferred to RCN 12 April 1943, renamed HMCS Kootenay, broken up Jan 1946
484	Deede	USA	Evarts-class destroyer escort	29 July 1943	scrapped 1947
485	De Haven (I)	USA	Fletcher-class destroyer	21 June 1942	sunk 1 February 1943
486	De Haven (II)	USA	Sumner-class destroyer	31 March 1944	to South Korea 1973, scrapped 1993
487	Delhi	UK	Danae class cruiser	Jun 1919	scrapped 1948
488	DeLong	USA	Rudderow-class destroyer escort	31 December 1943	sunk as target 1970
489	Dempsey	USA	Evarts-class destroyer escort	23 July 1943	scrapped 1947
490	Dennis	USA	Butler-class destroyer escort	20 March 1944	decommissioned 1946, scrapped 1973
491	Dennis J. Buckley	USA	Gearing-class destroyer	2 March 1945	scrapped 1974
492	Dent	USA	Wickes-class destroyer	9 September 1918	scrapped 1946
493	Denver	USA	Cleveland class light cruiser	15 October 1942	scrapped 1960
494	De Ruyter	Netherlands	De Ruyter class cruiser	3 October 1936	sunk 28 February 1942
495	Despatch	UK	Danae class cruiser	2 June 1922	scrapped 1946
496	Detroit	USA	Omaha class light cruiser	31 July 1923	scrapped 1946
497	Deutschland	Nazi Germany	Deutschland class heavy cruiser	1 April 1933	renamed Lützow
498	Devonshire	UK	County class cruiser	18 March 1929	scrapped Dec 1954
499	Dewey	USA	Farragut class destroyer	14 October 1934	scrapped 1946
500	Dickerson	USA	Wickes-class destroyer and destroyer-transport	3 September 1919	sunk 4 April 1945
501	Diether von Roeder	Nazi Germany	Type 1936 destroyer	29 August 1938	sunk 13 April 1940
502	Diomede	UK	Danae class cruiser	24 April 1922	scrapped 1946
503	Dionne	USA	Evarts-class destroyer escort	16 July 1943	scrapped 1947
504	Dobler	USA	Evarts-class destroyer escort	17 May 1943	scrapped 1946
505	Doherty	USA	Evarts-class destroyer escort	6 February 1943	scrapped 1946
506	Donaldson	USA	Evarts-class destroyer escort	1 December 1943	scrapped 1946
507	Doneff	USA	Evarts-class destroyer escort	10 June 1943	scrapped 1947
508	Donnell	USA	Buckley-class destroyer escort	26 June 1943	damaged Aug 1943 and converted to power barge, scrapped 1946
509	Doran	USA	Gleaves class destroyer	4 August 1942	decommissioned 1947, scrapped 1973
510	Dorsey	USA	Wickes-class destroyer	16 September 1918	grounded in typhoon, 9 October 1945
511	Dortch	USA	Fletcher-class destroyer	7 August 1943	to Argentina 1961, scrapped 1977
512	Douglas A. Munro	USA	Butler-class destroyer escort	11 July 1944	decommissioned 1960, sunk as target 1966
513	Douglas H. Fox	USA	Sumner-class destroyer	26 December 1944	to Chile 1974, sunk as target 1998
514	Douglas L. Howard	USA	Edsall-class destroyer escort	29 July 1943	decommissioned 1946, scrapped 1974
515	Downes	USA	Mahan class destroyer	15 January 1937	"destroyed 7 December 1941 but ""rebuilt,"" scrapped 1948"
516	Doyle	USA	Gleaves class destroyer	27 January 1943	decommissioned 1955, scrapped 1972
517	Doyle C. Barnes	USA	Butler-class destroyer escort	13 July 1944	decommissioned 1947, scrapped 1973
518	Drache	Nazi Germany	minelayer	captured 17 April 1941 (former Yugoslav Zmaj)	sunk 22 September 1944
519	Dragon	UKthen  Poland	Danae class cruiser	Aug 1918	"damaged, then used as a blockship in ""Gooseberry"" breakwater, July 1944"
520	Drayton	USA	Mahan class destroyer	1 September 1936	scrapped 1947
521	Drexler	USA	Sumner-class destroyer	14 November 1944	sunk 28 May 1945
522	Drum	United States	Gato class submarine	1 November 1941	"decommissioned 1967; museum at Mobile, Alabama"
523	Duffy	USA	Evarts-class destroyer escort	5 August 1943	scrapped 1947
524	Dufilho	USA	Butler-class destroyer escort	21 July 1944	decommissioned 1946, scrapped 1973
525	Duguay-Trouin	France Free French	Duguay-Trouin class light cruiser	2 November 1926	decommissioned 9 March 1952
526	Duke of York	UK	King George V-class battleship	28 February 1940	scrapped 1957
527	Duluth	USA	Cleveland class light cruiser	18 September 1944	scrapped 1960
528	Duncan (I)	USA	Gleaves class destroyer	16 April 1942	sunk 12 October 1942
529	Duncan (II)	USA	Gearing-class destroyer	25 February 1945	decommissioned 1971, sunk as target 1980
530	Dundee	UK	Shoreham class sloop	31 March 1933	Torpedoed and sunk 15 September 1940
531	Dunedin	UK	Danae class cruiser	19 November 1918	lost 24 November 1941
532	Dunkerque	France	Dunkerque-class battleship	15 April 1937	scuttled 27 November 1942
533	Dunlap	USA	Mahan class destroyer	12 June 1937	scrapped 1948
534	Dunvegan Castle	UK	Armed merchant cruiser	7 September 1939	sunk 28 August 1940
535	Dupleix	France	Suffren class heavy cruiser	7 July 1932	scuttled 27 November 1942
536	Du Pont	USA	Wickes-class destroyer	30 April 1919	scrapped 1947
537	Duquesne	France Free French	Duquesne class heavy cruiser	6 December 1928	condemned 1955
538	Durban	UK	Danae-class cruiser	1 November 1921	"""Gooseberry"" breakwater blockship, 9 June 1944"
539	Durant	USA	Edsall-class destroyer escort	17 February 1944	decommissioned 1964, scrapped 1974
540	Durik	USA	Buckley-class destroyer escort	16 November 1943	decommissioned 1946, scrapped 1967
541	Dyess	USA	Gearing-class destroyer	21 May 1945	scrapped 1981
542	Dyson	USA	Fletcher-class destroyer	30 December 1942	to West Germany 1960, scrapped 1982
543	Eagle	UK	aircraft carrier	26 February 1924	sunk 11 August 1942
544	Earle	USA	Gleaves class destroyer	1 September 1942	decommissioned 1947, scrapped 1970
545	Eberle	USA	Gleaves class destroyer	4 December 1940	Transferred to Greece, 22 January 1951, scrapped 1972
546	Edinburgh	UK	Town class light cruiser	6 July 1939	lost 2 May 1942
547	Edison	USA	Gleaves class destroyer	31 January 1941	decommissioned 1946, scrapped 1966
548	Edwards	USA	Gleaves class destroyer	18 September 1942	decommissioned 1946, scrapped 1973
549	Eidsvold	Norway	coastal defence ship	1901	sunk 9 April 1940
550	El Amir Farouq	Kingdom of Egypt	patrol vessel		
551	El Dorado	USA	Mount McKinley class amphibious force command ship	25 August 1944	Decommissioned 8 November 1972, scrapped 1976
552	Ellet	USA	Benham class destroyer	17 February 1939	scrapped 1947
553	Elli	Greece	Chao Ho class protected cruiser	Nov 1913	sunk 15 August 1940
554	Ellyson	USA	Gleaves class destroyer	28 November 1941	to Japan 1954, scrapped 1970
555	Emanuele Filiberto Duca d'Aosta	Kingdom of Italy	Duca d'Aosta class light cruiser	13 July 1935	ceded to USSR 1949, renamed Kerch, scrapped in 1960s
556	Emden	Nazi Germany	light cruiser	Oct 1925	scuttled 3 May 1945
557	Emerald	UK	Emerald class light cruiser	14 January 1926	scrapped July 1948
558	Émile Bertin	France Free French	Émile Bertin class light cruiser	28 January 1935	scrapped 1959
559	Emmons	USA	Gleaves class destroyer	5 December 1941	sunk 6 April 1945
560	Emperor	UK	Ruler class escort aircraft carrier	6 August 1943 (former USS Pybus)	Returned to USN 12 February 1946, sold for scrap 26 November 1947
561	Empire MacAlpine	UK	Empire class merchant aircraft carrier and grain carrier	14 April 1943	"transferred to merchant service post-war; renamed Derryname"
562	Empire MacAndrew	UK	Empire class merchant aircraft carrier and grain carrier	7 July 1943	"transferred to merchant service post-war; renamed Derryheen"
563	Empire MacCabe	UK	Empire class merchant aircraft carrier and oil tanker	Nov 1943	Transferred to merchant service 1946, renamed British Escort
564	Empire MacCallum	UK	Empire class merchant aircraft carrier and grain carrier	22 December 1943	"transferred to merchant service post-war; renamed Alpha Zambesi"
565	Empire MacColl	UK	Empire class merchant aircraft carrier and oil tanker	Nov 1943	Transferred to merchant service 1946, renamed British Pilot
566	Empire MacDermott	UK	Empire class merchant aircraft carrier and grain carrier	31 March 1944	"transferred to merchant service post-war; renamed La Cumbre"
567	Empire MacKay	UK	Empire class merchant aircraft carrier and oil tanker	5 October 1943	Transferred to merchant service 1946, renamed British Swordfish
568	Empire MacKendrick	UK	Empire class merchant aircraft carrier and grain carrier	Dec 1943	"transferred to merchant service post-war; renamed Granpond"
569	Empire MacMahon	UK	Empire class merchant aircraft carrier and oil tanker	Dec 1943	Transferred to merchant service 1946, renamed Naninia
570	Empire MacRae	UK	Empire class merchant aircraft carrier and grain carrier	20 September 1943	Returned to merchant service 1947, renamed Alpha Zambesi
571	Empress	UK	Ruler class escort aircraft carrier	9 August 1943 (former USS Carnegie)	Returned USN 4 February 1946, sold for scrap 21 June 1946
572	Endicott	USA	Gleaves class destroyer	25 February 1943	decommissioned 1955, scrapped 1970
573	Enterprise	UK	Emerald class light cruiser	7 April 1926	scrapped April 1946
574	Enterprise	USA	Yorktown class fleet carrier	12 May 1938	decommissioned 1947,scrapped 1959
575	Entre Rios	Argentina	Buenos Aires class destroyer		
576	Erebus	UK	Erebus class monitor	2 September 1916	Scrapped July 1946
577	Erich Giese	Nazi Germany	Type 1934A destroyer	4 March 1939	sunk 13 April 1940
578	Erich Koellner	Nazi Germany	Type 1934A destroyer	28 March 1939	sunk 13 April 1940
579	Erich Steinbrinck	Nazi Germany	Type 1934A destroyer	31 May 1938	"ceded to USSR, 5 November 1945, renamed Pylikiy; scrapped 1958"
580	Ericsson	USA	Gleaves class destroyer	13 March 1941	decommissioned 1946, sunk as target 1970
581	Eritrea	Kingdom of Italy	sloop	1937	ceded to France 1948, renamed  Francis Garnier, expended as target 1966
582	Escarmouche	Free French	River class frigate	3 March 1944 (former HMS Frome)	Decommissioned 1960
583	Eskdale	Norway	Hunt class destroyer escort destroyer	31 July 1942	sunk 14 April 1943
584	Eskimo	UK	Tribal class destroyer	30 December 1938	scrapped 1949
585	Essex	USA	Essex class aircraft carrier	31 December 1942	decommissioned 30 June 1969, scrapped 1975
586	Eugenio di Savoia	Kingdom of Italy	Duca d'Aosta class light cruiser	16 January 1936	ceded to Greece 1950, renamed  Elli, scrapped 1973
587	Exeter	UK	York class cruiser	23 July 1931	sunk 1 March 1942
588	Falke	Nazi Germany	Raubvogel class torpedoboat	15 August 1927	sunk 15 June 1944
589	Fall River	USA	Baltimore class heavy cruiser	1 July 1945	decommissioned 1947, scrapped 1972
590	Fanning	USA	Mahan class destroyer	8 October 1937	scrapped 1948
591	Farenholt	USA	Benson class destroyer	2 April 1942	decommissioned 1946, scrapped 1972
592	Farragut	USA	Farragut class destroyer	18 June 1934	scrapped 1947
593	Fencer	UK	Attacker class escort aircraft carrier	former USS Croatan	"Sold as a merchant ship; scrapped 1975"
